subject_class,subject_uri,property,property_uri,object_class,object_uri
owl:Class,http://www.w3.org/2002/07/owl#Class,iao:0100001,http://purl.obolibrary.org/obo/IAO_0100001,owl:Class,http://www.w3.org/2002/07/owl#Class
wp:DataNode,http://vocabularies.wikipathways.org/wp#DataNode,dc:creator,http://purl.org/dc/elements/1.1/creator,foaf:Person,http://xmlns.com/foaf/0.1/Person
wp:GeneProduct,http://vocabularies.wikipathways.org/wp#GeneProduct,dc:creator,http://purl.org/dc/elements/1.1/creator,foaf:Person,http://xmlns.com/foaf/0.1/Person
wp:Pathway,http://vocabularies.wikipathways.org/wp#Pathway,dc:creator,http://purl.org/dc/elements/1.1/creator,foaf:Person,http://xmlns.com/foaf/0.1/Person
wp:Complex,http://vocabularies.wikipathways.org/wp#Complex,dc:identifier,http://purl.org/dc/elements/1.1/identifier,wp:Complex,http://vocabularies.wikipathways.org/wp#Complex
wp:Complex,http://vocabularies.wikipathways.org/wp#Complex,dc:identifier,http://purl.org/dc/elements/1.1/identifier,wp:DataNode,http://vocabularies.wikipathways.org/wp#DataNode
wp:Complex,http://vocabularies.wikipathways.org/wp#Complex,dc:identifier,http://purl.org/dc/elements/1.1/identifier,wp:GeneProduct,http://vocabularies.wikipathways.org/wp#GeneProduct
wp:Complex,http://vocabularies.wikipathways.org/wp#Complex,dc:identifier,http://purl.org/dc/elements/1.1/identifier,wp:Protein,http://vocabularies.wikipathways.org/wp#Protein
wp:DataNode,http://vocabularies.wikipathways.org/wp#DataNode,dc:identifier,http://purl.org/dc/elements/1.1/identifier,wp:Complex,http://vocabularies.wikipathways.org/wp#Complex
wp:DataNode,http://vocabularies.wikipathways.org/wp#DataNode,dc:identifier,http://purl.org/dc/elements/1.1/identifier,wp:DataNode,http://vocabularies.wikipathways.org/wp#DataNode
wp:DataNode,http://vocabularies.wikipathways.org/wp#DataNode,dc:identifier,http://purl.org/dc/elements/1.1/identifier,wp:GeneProduct,http://vocabularies.wikipathways.org/wp#GeneProduct
wp:DataNode,http://vocabularies.wikipathways.org/wp#DataNode,dc:identifier,http://purl.org/dc/elements/1.1/identifier,wp:Metabolite,http://vocabularies.wikipathways.org/wp#Metabolite
wp:DataNode,http://vocabularies.wikipathways.org/wp#DataNode,dc:identifier,http://purl.org/dc/elements/1.1/identifier,wp:Pathway,http://vocabularies.wikipathways.org/wp#Pathway
wp:DataNode,http://vocabularies.wikipathways.org/wp#DataNode,dc:identifier,http://purl.org/dc/elements/1.1/identifier,wp:Protein,http://vocabularies.wikipathways.org/wp#Protein
wp:DataNode,http://vocabularies.wikipathways.org/wp#DataNode,dc:identifier,http://purl.org/dc/elements/1.1/identifier,wp:Rna,http://vocabularies.wikipathways.org/wp#Rna
wp:GeneProduct,http://vocabularies.wikipathways.org/wp#GeneProduct,dc:identifier,http://purl.org/dc/elements/1.1/identifier,wp:Complex,http://vocabularies.wikipathways.org/wp#Complex
wp:GeneProduct,http://vocabularies.wikipathways.org/wp#GeneProduct,dc:identifier,http://purl.org/dc/elements/1.1/identifier,wp:DataNode,http://vocabularies.wikipathways.org/wp#DataNode
wp:GeneProduct,http://vocabularies.wikipathways.org/wp#GeneProduct,dc:identifier,http://purl.org/dc/elements/1.1/identifier,wp:GeneProduct,http://vocabularies.wikipathways.org/wp#GeneProduct
wp:GeneProduct,http://vocabularies.wikipathways.org/wp#GeneProduct,dc:identifier,http://purl.org/dc/elements/1.1/identifier,wp:Pathway,http://vocabularies.wikipathways.org/wp#Pathway
wp:GeneProduct,http://vocabularies.wikipathways.org/wp#GeneProduct,dc:identifier,http://purl.org/dc/elements/1.1/identifier,wp:Protein,http://vocabularies.wikipathways.org/wp#Protein
wp:GeneProduct,http://vocabularies.wikipathways.org/wp#GeneProduct,dc:identifier,http://purl.org/dc/elements/1.1/identifier,wp:Rna,http://vocabularies.wikipathways.org/wp#Rna
wp:Metabolite,http://vocabularies.wikipathways.org/wp#Metabolite,dc:identifier,http://purl.org/dc/elements/1.1/identifier,wp:DataNode,http://vocabularies.wikipathways.org/wp#DataNode
wp:Metabolite,http://vocabularies.wikipathways.org/wp#Metabolite,dc:identifier,http://purl.org/dc/elements/1.1/identifier,wp:Metabolite,http://vocabularies.wikipathways.org/wp#Metabolite
wp:Metabolite,http://vocabularies.wikipathways.org/wp#Metabolite,dc:identifier,http://purl.org/dc/elements/1.1/identifier,wp:Pathway,http://vocabularies.wikipathways.org/wp#Pathway
wp:Metabolite,http://vocabularies.wikipathways.org/wp#Metabolite,dc:identifier,http://purl.org/dc/elements/1.1/identifier,wp:Protein,http://vocabularies.wikipathways.org/wp#Protein
wp:Pathway,http://vocabularies.wikipathways.org/wp#Pathway,dc:identifier,http://purl.org/dc/elements/1.1/identifier,wp:DataNode,http://vocabularies.wikipathways.org/wp#DataNode
wp:Pathway,http://vocabularies.wikipathways.org/wp#Pathway,dc:identifier,http://purl.org/dc/elements/1.1/identifier,wp:GeneProduct,http://vocabularies.wikipathways.org/wp#GeneProduct
wp:Pathway,http://vocabularies.wikipathways.org/wp#Pathway,dc:identifier,http://purl.org/dc/elements/1.1/identifier,wp:Metabolite,http://vocabularies.wikipathways.org/wp#Metabolite
wp:Pathway,http://vocabularies.wikipathways.org/wp#Pathway,dc:identifier,http://purl.org/dc/elements/1.1/identifier,wp:Pathway,http://vocabularies.wikipathways.org/wp#Pathway
wp:Pathway,http://vocabularies.wikipathways.org/wp#Pathway,dc:identifier,http://purl.org/dc/elements/1.1/identifier,wp:Protein,http://vocabularies.wikipathways.org/wp#Protein
wp:Protein,http://vocabularies.wikipathways.org/wp#Protein,dc:identifier,http://purl.org/dc/elements/1.1/identifier,wp:Complex,http://vocabularies.wikipathways.org/wp#Complex
wp:Protein,http://vocabularies.wikipathways.org/wp#Protein,dc:identifier,http://purl.org/dc/elements/1.1/identifier,wp:DataNode,http://vocabularies.wikipathways.org/wp#DataNode
wp:Protein,http://vocabularies.wikipathways.org/wp#Protein,dc:identifier,http://purl.org/dc/elements/1.1/identifier,wp:GeneProduct,http://vocabularies.wikipathways.org/wp#GeneProduct
wp:Protein,http://vocabularies.wikipathways.org/wp#Protein,dc:identifier,http://purl.org/dc/elements/1.1/identifier,wp:Metabolite,http://vocabularies.wikipathways.org/wp#Metabolite
wp:Protein,http://vocabularies.wikipathways.org/wp#Protein,dc:identifier,http://purl.org/dc/elements/1.1/identifier,wp:Pathway,http://vocabularies.wikipathways.org/wp#Pathway
wp:Protein,http://vocabularies.wikipathways.org/wp#Protein,dc:identifier,http://purl.org/dc/elements/1.1/identifier,wp:Protein,http://vocabularies.wikipathways.org/wp#Protein
wp:Protein,http://vocabularies.wikipathways.org/wp#Protein,dc:identifier,http://purl.org/dc/elements/1.1/identifier,wp:Rna,http://vocabularies.wikipathways.org/wp#Rna
wp:Rna,http://vocabularies.wikipathways.org/wp#Rna,dc:identifier,http://purl.org/dc/elements/1.1/identifier,wp:DataNode,http://vocabularies.wikipathways.org/wp#DataNode
wp:Rna,http://vocabularies.wikipathways.org/wp#Rna,dc:identifier,http://purl.org/dc/elements/1.1/identifier,wp:GeneProduct,http://vocabularies.wikipathways.org/wp#GeneProduct
wp:Rna,http://vocabularies.wikipathways.org/wp#Rna,dc:identifier,http://purl.org/dc/elements/1.1/identifier,wp:Protein,http://vocabularies.wikipathways.org/wp#Protein
wp:Rna,http://vocabularies.wikipathways.org/wp#Rna,dc:identifier,http://purl.org/dc/elements/1.1/identifier,wp:Rna,http://vocabularies.wikipathways.org/wp#Rna
skos:Collection,http://www.w3.org/2004/02/skos/core#Collection,dc:identifier,http://purl.org/dc/elements/1.1/identifier,wp:DataNode,http://vocabularies.wikipathways.org/wp#DataNode
skos:Collection,http://www.w3.org/2004/02/skos/core#Collection,dc:identifier,http://purl.org/dc/elements/1.1/identifier,wp:GeneProduct,http://vocabularies.wikipathways.org/wp#GeneProduct
skos:Collection,http://www.w3.org/2004/02/skos/core#Collection,dc:identifier,http://purl.org/dc/elements/1.1/identifier,wp:Pathway,http://vocabularies.wikipathways.org/wp#Pathway
wp:Binding,http://vocabularies.wikipathways.org/wp#Binding,dcterms:bibliographicCitation,http://purl.org/dc/terms/bibliographicCitation,gpml:PublicationXref,http://vocabularies.wikipathways.org/gpml#PublicationXref
wp:Binding,http://vocabularies.wikipathways.org/wp#Binding,dcterms:bibliographicCitation,http://purl.org/dc/terms/bibliographicCitation,wp:PublicationReference,http://vocabularies.wikipathways.org/wp#PublicationReference
wp:ComplexBinding,http://vocabularies.wikipathways.org/wp#ComplexBinding,dcterms:bibliographicCitation,http://purl.org/dc/terms/bibliographicCitation,gpml:PublicationXref,http://vocabularies.wikipathways.org/gpml#PublicationXref
wp:ComplexBinding,http://vocabularies.wikipathways.org/wp#ComplexBinding,dcterms:bibliographicCitation,http://purl.org/dc/terms/bibliographicCitation,wp:PublicationReference,http://vocabularies.wikipathways.org/wp#PublicationReference
wp:Complex,http://vocabularies.wikipathways.org/wp#Complex,dcterms:bibliographicCitation,http://purl.org/dc/terms/bibliographicCitation,gpml:PublicationXref,http://vocabularies.wikipathways.org/gpml#PublicationXref
wp:Complex,http://vocabularies.wikipathways.org/wp#Complex,dcterms:bibliographicCitation,http://purl.org/dc/terms/bibliographicCitation,wp:PublicationReference,http://vocabularies.wikipathways.org/wp#PublicationReference
wp:DataNode,http://vocabularies.wikipathways.org/wp#DataNode,dcterms:bibliographicCitation,http://purl.org/dc/terms/bibliographicCitation,gpml:PublicationXref,http://vocabularies.wikipathways.org/gpml#PublicationXref
wp:DataNode,http://vocabularies.wikipathways.org/wp#DataNode,dcterms:bibliographicCitation,http://purl.org/dc/terms/bibliographicCitation,wp:PublicationReference,http://vocabularies.wikipathways.org/wp#PublicationReference
wp:Interaction,http://vocabularies.wikipathways.org/wp#Interaction,dcterms:bibliographicCitation,http://purl.org/dc/terms/bibliographicCitation,gpml:PublicationXref,http://vocabularies.wikipathways.org/gpml#PublicationXref
wp:Interaction,http://vocabularies.wikipathways.org/wp#Interaction,dcterms:bibliographicCitation,http://purl.org/dc/terms/bibliographicCitation,wp:PublicationReference,http://vocabularies.wikipathways.org/wp#PublicationReference
gpml:Anchor,http://vocabularies.wikipathways.org/gpml#Anchor,dcterms:isPartOf,http://purl.org/dc/terms/isPartOf,gpml:GraphicalLine,http://vocabularies.wikipathways.org/gpml#GraphicalLine
gpml:Anchor,http://vocabularies.wikipathways.org/gpml#Anchor,dcterms:isPartOf,http://purl.org/dc/terms/isPartOf,gpml:Interaction,http://vocabularies.wikipathways.org/gpml#Interaction
gpml:Comment,http://vocabularies.wikipathways.org/gpml#Comment,dcterms:isPartOf,http://purl.org/dc/terms/isPartOf,gpml:DataNode,http://vocabularies.wikipathways.org/gpml#DataNode
gpml:Comment,http://vocabularies.wikipathways.org/gpml#Comment,dcterms:isPartOf,http://purl.org/dc/terms/isPartOf,gpml:GraphicalLine,http://vocabularies.wikipathways.org/gpml#GraphicalLine
gpml:Comment,http://vocabularies.wikipathways.org/gpml#Comment,dcterms:isPartOf,http://purl.org/dc/terms/isPartOf,gpml:Group,http://vocabularies.wikipathways.org/gpml#Group
gpml:Comment,http://vocabularies.wikipathways.org/gpml#Comment,dcterms:isPartOf,http://purl.org/dc/terms/isPartOf,gpml:Interaction,http://vocabularies.wikipathways.org/gpml#Interaction
gpml:Comment,http://vocabularies.wikipathways.org/gpml#Comment,dcterms:isPartOf,http://purl.org/dc/terms/isPartOf,gpml:Label,http://vocabularies.wikipathways.org/gpml#Label
gpml:Comment,http://vocabularies.wikipathways.org/gpml#Comment,dcterms:isPartOf,http://purl.org/dc/terms/isPartOf,gpml:State,http://vocabularies.wikipathways.org/gpml#State
gpml:Comment,http://vocabularies.wikipathways.org/gpml#Comment,dcterms:isPartOf,http://purl.org/dc/terms/isPartOf,gpml:shape,http://vocabularies.wikipathways.org/gpml#shape
gpml:DataNode,http://vocabularies.wikipathways.org/gpml#DataNode,dcterms:isPartOf,http://purl.org/dc/terms/isPartOf,gpml:Group,http://vocabularies.wikipathways.org/gpml#Group
gpml:GraphicalLine,http://vocabularies.wikipathways.org/gpml#GraphicalLine,dcterms:isPartOf,http://purl.org/dc/terms/isPartOf,gpml:Group,http://vocabularies.wikipathways.org/gpml#Group
gpml:Interaction,http://vocabularies.wikipathways.org/gpml#Interaction,dcterms:isPartOf,http://purl.org/dc/terms/isPartOf,gpml:Group,http://vocabularies.wikipathways.org/gpml#Group
gpml:Label,http://vocabularies.wikipathways.org/gpml#Label,dcterms:isPartOf,http://purl.org/dc/terms/isPartOf,gpml:Group,http://vocabularies.wikipathways.org/gpml#Group
gpml:Point,http://vocabularies.wikipathways.org/gpml#Point,dcterms:isPartOf,http://purl.org/dc/terms/isPartOf,gpml:GraphicalLine,http://vocabularies.wikipathways.org/gpml#GraphicalLine
gpml:Point,http://vocabularies.wikipathways.org/gpml#Point,dcterms:isPartOf,http://purl.org/dc/terms/isPartOf,gpml:Interaction,http://vocabularies.wikipathways.org/gpml#Interaction
gpml:PublicationXref,http://vocabularies.wikipathways.org/gpml#PublicationXref,dcterms:isPartOf,http://purl.org/dc/terms/isPartOf,gpml:DataNode,http://vocabularies.wikipathways.org/gpml#DataNode
gpml:PublicationXref,http://vocabularies.wikipathways.org/gpml#PublicationXref,dcterms:isPartOf,http://purl.org/dc/terms/isPartOf,gpml:GraphicalLine,http://vocabularies.wikipathways.org/gpml#GraphicalLine
gpml:PublicationXref,http://vocabularies.wikipathways.org/gpml#PublicationXref,dcterms:isPartOf,http://purl.org/dc/terms/isPartOf,gpml:Group,http://vocabularies.wikipathways.org/gpml#Group
gpml:PublicationXref,http://vocabularies.wikipathways.org/gpml#PublicationXref,dcterms:isPartOf,http://purl.org/dc/terms/isPartOf,gpml:Interaction,http://vocabularies.wikipathways.org/gpml#Interaction
gpml:PublicationXref,http://vocabularies.wikipathways.org/gpml#PublicationXref,dcterms:isPartOf,http://purl.org/dc/terms/isPartOf,gpml:Label,http://vocabularies.wikipathways.org/gpml#Label
gpml:PublicationXref,http://vocabularies.wikipathways.org/gpml#PublicationXref,dcterms:isPartOf,http://purl.org/dc/terms/isPartOf,gpml:State,http://vocabularies.wikipathways.org/gpml#State
gpml:PublicationXref,http://vocabularies.wikipathways.org/gpml#PublicationXref,dcterms:isPartOf,http://purl.org/dc/terms/isPartOf,gpml:shape,http://vocabularies.wikipathways.org/gpml#shape
gpml:PublicationXref,http://vocabularies.wikipathways.org/gpml#PublicationXref,dcterms:isPartOf,http://purl.org/dc/terms/isPartOf,wp:Binding,http://vocabularies.wikipathways.org/wp#Binding
gpml:PublicationXref,http://vocabularies.wikipathways.org/gpml#PublicationXref,dcterms:isPartOf,http://purl.org/dc/terms/isPartOf,wp:Catalysis,http://vocabularies.wikipathways.org/wp#Catalysis
gpml:PublicationXref,http://vocabularies.wikipathways.org/gpml#PublicationXref,dcterms:isPartOf,http://purl.org/dc/terms/isPartOf,wp:Complex,http://vocabularies.wikipathways.org/wp#Complex
gpml:PublicationXref,http://vocabularies.wikipathways.org/gpml#PublicationXref,dcterms:isPartOf,http://purl.org/dc/terms/isPartOf,wp:Conversion,http://vocabularies.wikipathways.org/wp#Conversion
